CaseID,AnomalousActivity,AnomalousCompleteTimestamp,AnomalousDuration,AnomalousCumDuration,ActivityLabel,TimeLabel
1,Completed-Closed,2006-01-11 23:49:42.000000,0.0,0.0,1,0
1,Accepted-In Progress,2012-03-15 19:53:52.000000,194817850.0,194817850.0,0,0
1,Accepted-Assigned,2012-03-15 19:56:17.000000,145.0,194817995.0,0,0
1,Accepted-In Progress,2013-02-04 15:07:54.105929,28149097.10592941,222967092.105929,0,1
1,Completed-Closed,2012-03-15 20:11:33.000000,148.0,194818911.0,0,0
2,Accepted-In Progress,2006-11-07 18:00:36.000000,0.0,0.0,0,0
2,Accepted-In Progress,2006-11-07 21:05:44.000000,11108.0,11108.0,0,0
2,Accepted-Wait,2009-12-02 22:24:32.000000,96859128.0,96870236.0,0,0
2,Accepted-In Progress,2011-09-03 14:09:09.000000,55266277.0,152136513.0,0,0
2,Accepted-In Progress,2012-01-20 18:23:24.000000,12024855.0,164161368.0,0,0
2,Completed-Closed,2012-01-20 18:23:27.000000,3.0,164161371.0,0,0
3,Accepted-In Progress,2007-03-20 17:06:25.000000,0.0,0.0,0,0
3,Accepted-Wait,2009-12-02 22:24:31.000000,85382286.0,85382286.0,0,0
3,Accepted-In Progress,2011-09-03 14:10:53.000000,55266382.0,140648668.0,0,0
3,Accepted-In Progress,2012-01-18 16:52:41.000000,11846508.0,152495176.0,0,0
3,Completed-Closed,2012-01-18 16:52:43.000000,2.0,152495178.0,0,0
4,Accepted-In Progress,2007-05-10 23:21:54.000000,0.0,0.0,0,0
4,Accepted-Wait,2009-12-02 22:24:33.000000,80953359.0,80953359.0,0,0
4,Accepted-In Progress,2011-09-03 14:10:59.000000,55266386.0,136219745.0,0,0
4,Accepted-In Progress,2012-01-18 16:20:53.000000,11844594.0,148064339.0,0,0
4,Completed-Closed,2012-01-18 16:21:10.000000,17.0,148064356.0,0,0
5,Accepted-In Progress,2007-07-25 21:21:05.000000,0.0,0.0,0,0
5,Accepted-Wait,2009-12-02 22:24:32.000000,74394207.0,74394207.0,0,0
5,Queued-Awaiting Assignment,2010-08-25 18:13:01.000000,22967309.0,97361516.0,0,0
5,Accepted-In Progress,2011-09-05 16:24:13.000000,32479872.0,129841388.0,0,0
5,Accepted-Assigned,2011-11-15 00:10:25.000000,6075972.0,135917360.0,0,0
5,Accepted-In Progress,2012-01-03 19:30:35.000000,4303210.0,140220570.0,0,0
5,Completed-Closed,2012-01-03 19:31:53.000000,78.0,140220648.0,0,0
6,Accepted-In Progress,2008-05-08 01:58:51.000000,0.0,0.0,0,0
6,Accepted-In Progress,2008-10-06 23:44:37.000000,13124746.0,13124746.0,0,0
6,Accepted-Wait,2009-12-02 22:24:34.000000,36455997.0,49580743.0,0,0
6,Accepted-In Progress,2011-09-02 07:27:50.000000,55155796.0,104736539.0,0,0
6,Accepted-In Progress,2011-09-02 07:27:55.000000,5.0,104736544.0,0,0
6,Accepted-In Progress,2012-01-20 15:53:32.000000,12126337.0,116862881.0,0,0
6,Unmatched-Unmatched,2012-01-20 15:53:35.000000,3.0,116862884.0,1,0
7,Accepted-In Progress,2008-06-04 19:02:18.000000,0.0,0.0,0,0
7,Accepted-Wait,2009-12-02 22:24:34.000000,47186536.0,47186536.0,0,0
7,Queued-Awaiting Assignment,2010-08-25 18:06:45.000000,22966931.0,70153467.0,0,0
7,Accepted-In Progress,2011-09-03 15:02:11.000000,32302526.0,102455993.0,0,0
7,Accepted-Assigned,2011-11-15 00:09:27.000000,6253636.0,108709629.0,0,0
7,Accepted-In Progress,2012-01-05 22:08:18.000000,4485531.0,113195160.0,0,0
7,Completed-Closed,2012-01-05 22:09:00.000000,42.0,113195202.0,0,0
8,Accepted-In Progress,2008-11-13 17:43:32.000000,0.0,0.0,0,0
8,Unmatched-Unmatched,2012-01-30 18:56:24.000000,101351572.0,101351572.0,1,0
8,Completed-Closed,2012-01-30 19:12:05.000000,941.0,101352513.0,1,0
8,Completed-Cancelled,2012-02-16 22:52:16.000000,1482011.0,102834524.0,1,0
8,Accepted-In Progress,2012-02-16 23:09:17.000000,1021.0,102835545.0,0,0
8,Queued-Awaiting Assignment,2012-02-16 23:09:43.000000,26.0,102835571.0,0,0
8,Accepted-In Progress,2012-02-16 23:10:10.000000,27.0,102835598.0,0,0
8,Completed-Closed,2012-03-19 17:26:32.000000,2744182.0,105579780.0,0,0
9,Accepted-In Progress,2008-11-13 19:01:04.000000,0.0,0.0,0,0
9,Accepted-Wait,2009-12-02 22:24:35.000000,33189811.0,33189811.0,0,0
9,Accepted-In Progress,2011-11-14 23:57:27.000000,61522372.0,94712183.0,0,0
9,Accepted-In Progress,2012-07-21 07:36:51.265379,21541164.26537852,116253347.265379,0,1
9,Completed-Closed,2012-01-18 18:19:21.000000,127.0,100307897.0,0,0
10,Accepted-In Progress,2009-06-25 16:47:52.000000,0.0,0.0,0,0
10,Queued-Awaiting Assignment,2012-03-28 20:10:36.000000,87016964.0,87016964.0,1,0
10,Completed-Closed,2012-03-28 20:12:08.000000,92.0,87017056.0,0,0
11,Accepted-In Progress,2009-08-11 15:44:51.000000,0.0,0.0,0,0
11,Queued-Awaiting Assignment,2009-10-22 19:27:17.592761,6234146.592760853,6234146.592761,0,1
11,Accepted-Assigned,2009-08-11 19:01:25.000000,11173.0,11794.0,0,0
11,Queued-Awaiting Assignment,2010-05-18 19:35:53.000000,24194068.0,24205862.0,0,0
11,Accepted-In Progress,2011-02-05 09:05:14.920370,22685361.920370355,46891223.92037,0,1
11,Accepted-Wait,2011-10-02 05:40:28.000000,40819196.0,67528537.0,0,0
11,Queued-Awaiting Assignment,2011-12-07 20:41:00.000000,5756432.0,73284969.0,0,0
11,Queued-Awaiting Assignment,2012-08-05 12:42:50.626354,20880110.626354434,94165079.626354,1,1
11,Completed-Closed,2012-02-20 05:57:21.000000,381361.0,79711950.0,0,0
12,Accepted-In Progress,2009-09-07 21:33:24.000000,0.0,0.0,0,0
12,Unmatched-Unmatched,2009-10-28 03:28:25.328602,4341301.328601725,4341301.328602,0,1
12,Accepted-In Progress,2012-04-30 19:21:43.000000,82860233.0,83454499.0,1,0
13,Queued-Awaiting Assignment,2009-09-17 05:42:12.000000,0.0,0.0,0,0
13,Accepted-In Progress,2009-09-28 18:26:19.000000,996247.0,996247.0,0,0
13,Accepted-Wait,2009-09-28 18:26:30.000000,11.0,996258.0,0,0
13,Queued-Awaiting Assignment,2010-04-08 19:09:22.000000,16591372.0,17587630.0,0,0
13,Queued-Awaiting Assignment,2010-04-08 19:11:51.000000,149.0,17587779.0,0,0
13,Accepted-In Progress,2010-04-12 17:05:58.000000,338047.0,17925826.0,0,0
13,Accepted-Wait,2010-04-12 17:10:24.000000,266.0,17926092.0,0,0
13,Accepted-In Progress,2011-10-18 23:09:14.000000,47887130.0,65813222.0,0,0
13,Unmatched-Unmatched,2012-05-24 17:02:19.000000,18899585.0,84712807.0,1,0
13,Completed-Closed,2012-05-24 18:03:31.000000,3672.0,84716479.0,0,0
14,Accepted-In Progress,2009-09-18 19:50:02.000000,0.0,0.0,0,0
14,Unmatched-Unmatched,2009-11-17 22:07:38.000000,5192256.0,5192256.0,0,0
14,Completed-Closed,2012-03-13 19:53:35.000000,73172757.0,78365013.0,0,0
15,Accepted-In Progress,2009-09-21 21:13:43.000000,0.0,0.0,0,0
15,Completed-Closed,2012-02-07 21:22:11.000000,75082108.0,75082108.0,0,0
16,Accepted-In Progress,2009-09-22 21:22:05.000000,0.0,0.0,0,0
16,Accepted-Assigned,2009-09-22 21:25:17.000000,192.0,192.0,0,0
16,Unmatched-Unmatched,2012-05-24 17:57:49.000000,84227552.0,84227744.0,1,0
17,Accepted-In Progress,2009-09-23 18:52:27.000000,0.0,0.0,0,0
17,Accepted-Assigned,2010-01-04 17:00:17.000000,8892470.0,8892470.0,0,0
17,Completed-Closed,2010-03-18 00:36:20.000000,6248163.0,15140633.0,1,0
17,Accepted-Assigned,2010-11-09 20:35:55.000000,20462375.0,35603008.0,0,0
17,Accepted-In Progress,2010-11-09 22:20:48.000000,6293.0,35609301.0,0,0
17,Accepted-In Progress,2011-07-10 05:38:40.376626,20935072.37662587,56544373.376626,0,1
17,Accepted-Assigned,2012-03-30 15:05:44.000000,297.0,79387997.0,0,0
17,Accepted-In Progress,2012-04-19 17:01:14.000000,1734930.0,81122927.0,0,0
17,Completed-Closed,2012-04-19 17:01:38.000000,24.0,81122951.0,0,0
18,Accepted-Assigned,2009-10-15 01:12:54.000000,0.0,0.0,1,0
18,Accepted-Wait,2009-12-02 22:24:37.000000,4223503.0,4223503.0,0,0
18,Accepted-In Progress,2011-09-02 07:22:08.000000,55155451.0,59378954.0,0,0
18,Accepted-In Progress,2012-02-01 17:46:54.000000,13170286.0,72549240.0,0,0
18,Completed-Closed,2012-02-01 17:46:57.000000,3.0,72549243.0,0,0
19,Accepted-Wait,2009-10-26 22:47:10.000000,15183844.228998244,0.0,0,1
19,Unmatched-Unmatched,2009-10-27 17:57:26.000000,69016.0,69016.0,0,0
19,Queued-Awaiting Assignment,2010-03-02 21:44:22.000000,10900016.0,10969032.0,0,0
19,Unmatched-Unmatched,2010-03-02 21:46:10.000000,108.0,10969140.0,1,0
19,Accepted-Wait,2010-03-02 21:46:18.000000,8.0,10969148.0,0,0
19,Accepted-Assigned,2011-04-11 16:10:20.000000,34971842.0,45940990.0,0,0
19,Accepted-Assigned,2011-08-01 15:27:26.865642,9674226.865641572,55615216.865642,0,1
19,Accepted-Wait,2011-11-28 16:21:27.000000,19958979.0,65900057.0,0,0
19,Completed-Cancelled,2012-03-30 17:53:50.000000,10632743.0,76532800.0,1,0
19,Completed-Closed,2012-03-30 17:53:53.000000,3.0,76532803.0,0,0
20,Accepted-In Progress,2009-10-27 17:42:40.000000,0.0,0.0,0,0
20,Accepted-Wait,2009-10-27 17:42:49.000000,9.0,9.0,0,0
20,Queued-Awaiting Assignment,2010-03-02 21:43:43.000000,10900854.0,10900863.0,0,0
20,Accepted-In Progress,2010-03-02 21:44:26.000000,43.0,10900906.0,0,0
20,Accepted-In Progress,2010-03-03 16:04:11.000000,65985.0,10966891.0,0,0
20,Accepted-Wait,2010-06-14 05:32:03.000000,8861272.0,19828163.0,0,0
20,Accepted-Assigned,2011-04-11 16:12:04.000000,26044801.0,45872964.0,0,0
20,Accepted-Wait,2011-11-23 19:55:39.000000,19539815.0,65412779.0,0,0
20,Completed-Closed,2012-01-19 16:55:41.000000,4914002.0,70326781.0,0,0
21,Accepted-In Progress,2009-10-30 21:49:04.000000,0.0,0.0,0,0
21,Accepted-Assigned,2009-10-30 21:57:13.000000,489.0,489.0,0,0
21,Queued-Awaiting Assignment,2010-03-02 21:43:50.000000,10626397.0,10626886.0,0,0
21,Accepted-In Progress,2010-03-02 21:45:25.000000,95.0,10626981.0,0,0
21,Accepted-Wait,2010-03-02 21:45:37.000000,12.0,10626993.0,0,0
21,Completed-Closed,2012-03-30 17:54:30.000000,65563733.0,76190726.0,0,0
22,Accepted-In Progress,2009-11-04 16:07:28.000000,0.0,0.0,0,0
22,Accepted-In Progress,2010-03-03 23:51:55.000000,10309467.0,10309467.0,0,0
22,Accepted-Assigned,2010-03-03 23:52:18.000000,23.0,10309490.0,0,0
22,Accepted-Assigned,2010-05-25 00:04:58.000000,7085560.0,17395050.0,0,0
22,Accepted-Assigned,2010-08-09 19:39:59.000000,6636901.0,24031951.0,0,0
22,Accepted-In Progress,2012-04-02 17:18:59.000000,52004340.0,76036291.0,0,0
22,Completed-Closed,2012-11-07 13:03:44.151574,18906285.15157438,94942576.151574,0,1
23,Queued-Awaiting Assignment,2009-11-10 00:38:14.000000,0.0,0.0,0,0
23,Accepted-In Progress,2009-11-24 17:41:50.000000,1271016.0,1271016.0,0,0
23,Accepted-Wait,2010-09-10 17:45:16.000000,25056206.0,26327222.0,0,0
23,Accepted-In Progress,2011-03-28 18:52:46.000000,17197650.0,43524872.0,0,0
23,Accepted-Wait,2011-10-28 20:15:00.213651,18494534.213650934,62019406.213651,0,1
23,Completed-Closed,2012-04-13 20:41:36.000000,8628490.0,76536202.0,0,0
24,Accepted-In Progress,2009-11-12 21:41:27.000000,0.0,0.0,0,0
24,Accepted-In Progress,2010-09-17 17:33:52.000000,26682745.0,26682745.0,0,0
24,Queued-Awaiting Assignment,2010-11-13 03:22:19.000000,4873707.0,31556452.0,0,0
24,Accepted-Assigned,2010-11-23 23:10:22.000000,935283.0,32491735.0,0,0
24,Accepted-Assigned,2011-01-07 22:55:04.000000,3887082.0,36378817.0,0,0
24,Accepted-Wait,2011-01-12 01:13:42.000000,353918.0,36732735.0,0,0
24,Accepted-In Progress,2011-05-19 22:45:16.000000,11050294.0,47783029.0,0,0
