CaseID,AnomalousActivity,AnomalousCompleteTimestamp,AnomalousDuration,AnomalousCumDuration,ActivityLabel,TimeLabel
1,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
1,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
1,Activity C,1970-01-01 11:00:00.000000,3600.0,7200.0,0,0
1,Activity D,1970-01-01 12:00:00.000000,3600.0,10800.0,0,0
1,Activity C,1970-01-01 13:00:00.000000,3600.0,14400.0,1,0
1,Activity K,1970-01-01 14:00:00.000000,3600.0,18000.0,0,0
1,Activity G,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
1,Activity M,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
1,Activity L,1970-01-01 15:00:00.000000,3600.0,21600.0,0,0
1,Activity K,1970-01-01 15:00:00.000000,0.0,21600.0,1,0
1,Activity J,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
1,Activity N,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
1,Activity H,1970-01-01 16:00:00.000000,3600.0,25200.0,0,0
1,Activity F,1970-01-01 17:00:00.000000,3600.0,28800.0,0,0
2,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
2,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
2,Activity C,1970-01-01 11:00:00.000000,3600.0,7200.0,0,0
2,Activity D,1970-01-01 12:00:00.000000,3600.0,10800.0,0,0
2,Activity E,1970-01-01 13:00:00.000000,3600.0,14400.0,0,0
2,Activity M,1970-01-01 14:00:00.000000,3600.0,18000.0,0,0
2,Activity K,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
2,Activity G,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
2,Activity N,1970-01-01 15:00:00.000000,3600.0,21600.0,0,0
2,Activity L,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
2,Activity D,1970-01-01 15:00:00.000000,0.0,21600.0,1,0
2,Activity I,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
2,Activity H,1970-01-01 16:00:00.000000,3600.0,25200.0,0,0
2,Activity F,1970-01-01 17:00:00.000000,3600.0,28800.0,0,0
3,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
3,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
3,Activity H,1970-01-01 11:00:00.000000,3600.0,7200.0,1,0
3,Activity D,1970-01-01 12:00:00.000000,3600.0,10800.0,0,0
3,Activity E,1970-01-01 13:00:00.000000,3600.0,14400.0,0,0
3,Activity G,1970-01-01 14:00:00.000000,3600.0,18000.0,0,0
3,Activity M,1970-01-01 15:14:48.732878,4488.732877506072,22488.732878,0,1
3,Activity E,1970-01-01 14:00:00.000000,0.0,18000.0,1,0
3,Activity J,1970-01-01 15:00:00.000000,3600.0,21600.0,0,0
3,Activity I,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
3,Activity N,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
3,Activity L,1970-01-01 15:51:21.645113,3081.6451132286497,24681.645113,0,1
3,Activity H,1970-01-01 16:00:00.000000,3600.0,25200.0,0,0
3,Activity F,1970-01-01 17:00:00.000000,3600.0,28800.0,0,0
4,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
4,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
4,Activity C,1970-01-01 11:00:00.000000,3600.0,7200.0,0,0
4,Activity D,1970-01-01 12:00:00.000000,3600.0,10800.0,0,0
4,Activity I,1970-01-01 13:00:00.000000,3600.0,14400.0,1,0
4,Activity G,1970-01-01 13:58:23.086442,3503.0864420391226,17903.086442,0,1
4,Activity K,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
4,Activity M,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
4,Activity I,1970-01-01 15:00:00.000000,3600.0,21600.0,0,0
4,Activity J,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
4,Activity L,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
4,Activity N,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
4,Activity H,1970-01-01 16:00:00.000000,3600.0,25200.0,0,0
4,Activity F,1970-01-01 17:00:00.000000,3600.0,28800.0,0,0
5,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
5,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
5,Activity B,1970-01-01 11:00:00.000000,3600.0,7200.0,1,0
5,Activity D,1970-01-01 12:00:00.000000,3600.0,10800.0,0,0
5,Activity K,1970-01-01 13:00:00.000000,3600.0,14400.0,1,0
5,Activity M,1970-01-01 14:00:00.000000,3600.0,18000.0,0,0
5,Activity K,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
5,Activity G,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
5,Activity B,1970-01-01 15:00:00.000000,3600.0,21600.0,1,0
5,Activity L,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
5,Activity I,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
5,Activity J,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
5,Activity H,1970-01-01 16:00:00.000000,3600.0,25200.0,0,0
5,Activity F,1970-01-01 17:00:00.000000,3600.0,28800.0,0,0
6,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
6,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
6,Activity I,1970-01-01 11:00:00.000000,3600.0,7200.0,1,0
6,Activity D,1970-01-01 12:16:50.807435,4610.807435216593,11810.807435,0,1
6,Activity E,1970-01-01 13:00:00.000000,3600.0,14400.0,0,0
6,Activity M,1970-01-01 14:00:00.000000,3600.0,18000.0,0,0
6,Activity K,1970-01-01 15:04:01.588543,3841.5885434163865,21841.588543,0,1
6,Activity G,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
6,Activity N,1970-01-01 15:00:00.000000,3600.0,21600.0,0,0
6,Activity L,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
6,Activity J,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
6,Activity A,1970-01-01 15:00:00.000000,0.0,21600.0,1,0
6,Activity H,1970-01-01 16:00:00.000000,3600.0,25200.0,0,0
6,Activity F,1970-01-01 17:00:00.000000,3600.0,28800.0,0,0
7,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
7,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
7,Activity C,1970-01-01 11:00:00.000000,3600.0,7200.0,0,0
7,Activity D,1970-01-01 12:00:00.000000,3600.0,10800.0,0,0
7,Activity E,1970-01-01 13:00:00.000000,3600.0,14400.0,0,0
7,Activity G,1970-01-01 14:00:00.000000,3600.0,18000.0,0,0
7,Activity M,1970-01-01 15:33:02.190107,5582.190106672098,23582.190107,0,1
7,Activity C,1970-01-01 14:00:00.000000,0.0,18000.0,1,0
7,Activity J,1970-01-01 15:00:00.000000,3600.0,21600.0,0,0
7,Activity I,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
7,Activity N,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
7,Activity L,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
7,Activity H,1970-01-01 16:00:00.000000,3600.0,25200.0,0,0
7,Activity F,1970-01-01 17:00:00.000000,3600.0,28800.0,0,0
8,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
8,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
8,Activity A,1970-01-01 11:00:00.000000,3600.0,7200.0,1,0
8,Activity D,1970-01-01 12:00:00.000000,3600.0,10800.0,0,0
8,Activity E,1970-01-01 13:00:00.000000,3600.0,14400.0,0,0
8,Activity K,1970-01-01 14:00:00.000000,3600.0,18000.0,0,0
8,Activity M,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
8,Activity G,1970-01-01 14:00:00.000000,0.0,18000.0,0,0
8,Activity L,1970-01-01 15:00:00.000000,3600.0,21600.0,0,0
8,Activity N,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
8,Activity I,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
8,Activity J,1970-01-01 15:00:00.000000,0.0,21600.0,0,0
8,Activity H,1970-01-01 16:00:00.000000,3600.0,25200.0,0,0
8,Activity E,1970-01-01 17:00:00.000000,3600.0,28800.0,1,0
9,Activity A,1970-01-01 09:00:00.000000,0.0,0.0,0,0
9,Activity B,1970-01-01 10:00:00.000000,3600.0,3600.0,0,0
9,Activity C,1970-01-01 11:00:00.000000,3600.0,7200.0,0,0
9,Activity D,1970-01-01 12:00:00.000000,3600.0,10800.0,0,0
9,Activity E,1970-01-01 13:06:46.385429,4006.3854286962896,14806.385429,0,1
9,Activity M,1970-01-01 14:00:00.000000,3600.0,18000.0,0,0
9,Activity K,1970-01-01 14:52:05.230592,3125.230591855953,21125.230592,0,1
